Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 64.62     13.39    13.39   416886     0.00     0.00  SARSegmentation::assignToNearestSuperpixel(int, int)
 14.33     16.36     2.97 3483544763     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::operator[](unsigned long)
  9.12     18.25     1.89 2322055020     0.00     0.00  __gnu_cxx::__promote_2<decltype (((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))), std::__is_integer<decltype (((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0)))>::__value>::__type std::pow<int, int>(int, int)
  5.65     19.42     1.17 1161450024     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::size() const
  2.61     19.96     0.54 1162707276     0.00     0.00  std::abs(double)
  0.39     20.04     0.08  7735713     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.31     20.11     0.07  7735714     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.19     20.14     0.04  7734894     0.00     0.00  std::_Bit_iterator::operator*() const
  0.14     20.18     0.03  7734894     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.14     20.20     0.03   416886     0.00     0.00  cv::Point_<int>& std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::emplace_back<cv::Point_<int> >(cv::Point_<int>&&)
  0.14     20.23     0.03    18969     0.00     0.00  SARSegmentation::growSuperpixel(int, int, Superpixel&, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&)
  0.10     20.25     0.02  7737352     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.10     20.27     0.02  7735714     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.10     20.30     0.02  7734894     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long)
  0.10     20.32     0.02  7528126     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.10     20.34     0.02  2096640     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int>* const&)
  0.10     20.36     0.02  1209132     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.10     20.38     0.02   728476     0.00     0.00  cv::Point_<int>& std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::emplace_back<cv::Point_<int> >(cv::Point_<int>&&)
  0.10     20.39     0.02        1     0.02    20.49  SARSegmentation::extractSuperpixels()
  0.05     20.41     0.01 12579840     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.05     20.41     0.01 10483200     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.05     20.43     0.01  7735714     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.05     20.43     0.01  7734894     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.05     20.45     0.01  6997300     0.00     0.00  cv::Point_<int>&& std::forward<cv::Point_<int> >(std::remove_reference<cv::Point_<int> >::type&)
  0.05     20.45     0.01  6756893     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr() const
  0.05     20.46     0.01  6756893     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node<std::pair<int, int> > const*)
  0.05     20.48     0.01  6756893     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.05     20.48     0.01  4745759     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.05     20.50     0.01  4258016     0.00     0.00  std::pair<int, int> const& std::forward<std::pair<int, int> const&>(std::remove_reference<std::pair<int, int> const&>::type&)
  0.05     20.50     0.01  4193280     0.00     0.00  int&& std::__pair_get<1ul>::__move_get<int, int>(std::pair<int, int>&&)
  0.05     20.52     0.01  4193280     0.00     0.00  std::tuple_element<0ul, std::pair<int, int> >::type&& std::get<0ul, int, int>(std::pair<int, int>&&)
  0.05     20.52     0.01  4193280     0.00     0.00  std::tuple_element<1ul, std::pair<int, int> >::type&& std::get<1ul, int, int>(std::pair<int, int>&&)
  0.05     20.54     0.01  3647106     0.00     0.00  std::remove_reference<cv::Point_<int>&>::type&& std::move<cv::Point_<int>&>(cv::Point_<int>&)
  0.05     20.55     0.01  1773268     0.00     0.00  void std::__relocate_object_a<cv::Point_<int>, cv::Point_<int>, std::allocator<cv::Point_<int> > >(cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&)
  0.05     20.55     0.01  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector()
  0.05     20.57     0.01  1048320     0.00     0.00  std::pair<int, int>* std::uninitialized_copy<std::pair<int, int> const*, std::pair<int, int>*>(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*)
  0.05     20.57     0.01  1029644     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int>* const&)
  0.05     20.59     0.01   728476     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int>&&)
  0.05     20.59     0.01   433325     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.05     20.61     0.01   416887     0.00     0.00  bool __gnu_cxx::operator==<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > >(__gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > > const&, __gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > > const&)
  0.05     20.61     0.01   416887     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::end() const
  0.05     20.62     0.01   416887     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::empty() const
  0.05     20.64     0.01   416886     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator-(long) const
  0.05     20.64     0.01   415096     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::find(std::pair<int, int> const&)
